station,n,Tair,d18Oprecip
GENOA (SESTRI),41,14.5,-5.04
RIGA,20,6.3,-9.46
ST. PETERSBURG,10,5.9,-11.16
CUXHAVEN,26,9.4,-6.9
PISA (CENTRAL),10,14.3,-5.17
TRIESTE,19,13.9,-6.98
EMMERICH,26,10,-7.13
BERLIN,26,9.7,-8.13
BRAUNSCHWEIG,26,9.4,-7.31
KOBLENZ,30,11,-7.16
BAD SALZUFLEN,26,9.6,-7.81
MILHOSTOV,7,9.8,-9.18
TOPOLNIKY,7,11.2,-9.35
KARLSRUHE,27,11,-7.97
LEIPZIG,31,9.2,-8.77
ZAGREB-GRIC,6,12.4,-8.19
ZAGREB,20,11.7,-8.81
VIENNA (HOHE WARTE),45,10.2,-9.71
KRAKOW (WOLA JUSTOWSKA),27,8.2,-9.86
MOCHOVCE,7,9.5,-9.23
MINSK,9,6.3,-10.76
BREST,10,8.1,-9.61
WEIL AM RHEIN,16,10.6,-8.45
PETZENKIRCHEN,13,7.7,-9.36
WUERZBURG,27,9.6,-8.13
TRIER,26,9.7,-7.22
BRATISLAVA,6,10.4,-8.16
LJUBLJANA,20,10.7,-8.67
STUTTGART (CANNSTATT),43,9.8,-8.48
LVOV,10,6.9,-10.23
REGENSBURG,26,8.7,-9.49
BASOVIZZA,6,12.5,-7.31
KONSTANZ,26,9.8,-10.01
NEUHERBERG,13,8.9,-10.27
